Language,Name,Profession,Gender,Age,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Host Name,Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Secret Task,Social Media Popularity,Finalist,Winner
Hindi,Prince Narula_41,Reality Show Alumni,Male,Young,,,12.0,No,Salman Khan,Colors,,2.9,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,6,4.0,0.0,0.0,0.0,,,,,,1.0,1
Malayalam,Majiziya Bhanu_294,Sports Person,Female,Young,,6.0,5.0,No,Mohanlal,Asianet,Disney+ Hotstar,12.4,Kerala,Chennai,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Shilpa Shinde_559,Soap Actress,Female,Middle,,,17.0,No,Salman Khan,Colors,,7.64,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,10,0.0,0.0,0.0,0.0,,1.0,,,8.0,1.0,1
Marathi,Vineet Bhonde_629,Actor,Male,Middle,,2.0,2.0,No,Mahesh Manjrekar,Colors Marathi,,,Maharashtra,Lonavala,No,1,1.0,0.0,0.0,0.0,,,,,,0.0,0
Bengali,Priya Paul_120,Soap Actress,Female,Middle,,,8.0,No,Jeet,Colors Bangla,,6.5,West Bengal,Lonavala,No,11,1.0,0.0,0.0,0.0,,,,,,1.0,0
Kannada,Sanjjanaa Galrani_167,Actress,Female,Young,,2.0,10.0,No,Sudeep,ETV Kannada,,4.7,Karnataka,Lonavala,No,1,,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Adam Pasha_471,Activist,Transgender,Middle,,4.0,,No,Sudeep,Colors Super,Voot,,Karnataka,Bengaluru,No,4,0.0,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Chaitra Halikere_839,Actress,Female,Old,3-Sep-22,4.0,10.0,No,Sudeep,,Voot,,Karnataka,Bengaluru,Yes,2,0.0,0.0,0.0,0.0,,,,,,,0
Kannada,Shankar Ashwath_848,Actor,Male,Old,,5.0,3.0,No,Sudeep,Colors Kannada,Voot,,Karnataka,Bengaluru,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Rekha Sandesh_783,Actress,Female,Young,,,14.0,No,Sudeep,Colors Kannada,,,Karnataka,Bengaluru,No,6,,0.0,0.0,0.0,,,,,,1.0,0
Hindi,Santosh Shukla_51,Actor,Male,Young,,11.0,19.0,Yes,Salman Khan,Colors,,3.81,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,3,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0
Hindi,Soniya Bansal_647,Actress,Female,Young,,2.0,11.0,No,Salman Khan,Colors,JioCinema,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,1,,,,,,,,,,0.0,0
Bengali,Aneek Dhar_195,Singer,Male,Young,,,3.0,No,Mithun Chakraborthy,ETV Bangla,,2.9,West Bengal,Lonavala,No,7,0.0,0.0,0.0,0.0,,,,,,1.0,1
Hindi,Akshara Singh_627,Soap Actress,Female,Young,,4.0,11.0,No,Karan Johar,,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,Yes,3,1.0,0.0,0.0,0.0,,,,,,0.0,0
